ticker,name,sic_code,description,total_employees
,ZOOZ Power Ltd. Warrant,,"Zooz Power Ltd is a provider of Flywheel-based Power Boosting solutions enabling widespread deployment of ultra-fast charging infrastructure for electric vehicles (EV) while overcoming existing grid limitations. ZOOZ pioneers its flywheel-based power boosting technology, enabling efficient utilization and power management of a power-limited grid at an EV charging site. Its Flywheel technology allows high-performance, reliable, and cost-effective ultra-fast charging infrastructure. ZOOZ Power's sustainable, power-boosting solutions are built with longevity and the environment in mind, helping its customers and partners accelerate the deployment of fast-charging infrastructure, thus facilitating improved utilization rates, efficiency, and greater flexibility.",0
,Cyber Hornet S&P 500 and Bitcoin 75/25 Strategy ETF,,,0
A,Agilent Technologies Inc.,3826,"Originally spun out of Hewlett-Packard in 1999, Agilent has evolved into a leading life science and diagnostic firm. Today, Agilent's measurement technologies serve a broad base of customers with its three operating segments: life science and applied tools, cross lab consisting of consumables and services related to life science and applied tools, and diagnostics and genomics. Over half of its sales are generated from the biopharmaceutical, chemical, and advanced materials end markets, which we view as the stickiest end markets, but it also supports clinical lab, environmental, forensics, food, academic, and government-related organizations. The company is geographically diverse, with operations in the US and China representing the largest country concentrations.",17900
AA,Alcoa Corporation,3334,"Alcoa is a vertically integrated aluminum company whose operations include bauxite mining, alumina refining, and manufacturing primary aluminum. It is the world's largest bauxite miner and alumina refiner by production volume, and the eighth-largest aluminum producer. Profits are closely tied to prevailing commodity prices along the aluminum supply chain.Alcoa was the first mass producer of aluminum, launching the world-changing Hall-Heroult smelting process in the 1880s, making aluminum affordable. It listed as a public company in 1925. In 2016, Alcoa spun off its automotive and aerospace metal parts segment to focus on mining, smelting, and refining. It bought the 40% unowned balance of AWAC in mid-2024, meaning refining assets are now predominantly wholly owned, as with smelting.",300
AAA,Alternative Access First Priority CLO Bond ETF,,,0
AAAU,Goldman Sachs Physical Gold ETF Shares,6221,,0
AACG,ATA Creativity Global American Depositary Shares,,"ATA Creativity Global is an international educational services company focused on providing quality learning experiences that cultivate and enhance students' creativity. The operating segments are Overseas art study services, Other educational services and K-12 education assessment and other services. Majority of its revenue comes from Overseas art study services.",581
AACT,Ares Acquisition Corporation II,6770,Ares Acquisition Corp II is a blank check company.,0
AACT.U,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",6770,Ares Acquisition Corp II is a blank check company.,0
AACT.WS,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",6770,,0
